Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link,IPO_day4_qib,IPO_day4_nii,IPO_day4_rtl
Saatvik Green Energy Limited,https://www.chittorgarh.com/ipo/saatvik-green-energy-ipo/2082/,EQ,2025-09-25,2025-09-29,2025-10-03,10,121,121,error,6.0,2.0,0.0,1.0,0.0,0.0,0.02,3.02,3.28,0.04,6.79,7.28,35.7,146.39,47.04,https://www.sebi.gov.in/filings/public-issues/sep-2025/jinkushal-industries-limited-rhp_96623.html,https://www.investorgain.com/chr-gmp/jinkushal-industries-ipo/2432,,,
GK Energy Limited,https://www.chittorgarh.com/ipo/gk-energy-ipo/2042/,EQ,2025-08-07,2025-08-11,2025-08-14,10,147,147,error,7.0,1.0,0.0,4.0,0.0,2.0,0.24,0.21,0.38,0.26,0.65,0.76,16.71,11.6,1.91,https://www.sebi.gov.in/filings/public-issues/aug-2025/jsw-cement-limited-rhp_95804.html,https://www.investorgain.com/chr-gmp/jsw-cement-ipo/2230,,,
Ivalue Infosolutions Limited,https://www.chittorgarh.com/ipo/ivalue-infosolutions-ipo/2227/,EQ,2025-07-29,2025-07-31,2025-08-05,5,158,158,error,7.0,1.0,0.0,0.0,0.0,0.0,0.1,0.19,0.61,0.45,0.52,1.29,1.3,1.83,2.2,https://www.sebi.gov.in/filings/public-issues/jul-2025/laxmi-india-finance-limited-rhp_95526.html,https://www.investorgain.com/chr-gmp/laxmi-india-finance-ipo/2030,,,
VMS TMT Limited,https://www.chittorgarh.com/ipo/vms-tmt-ipo/2161/,EQ,2025-07-30,2025-08-01,2025-08-06,10,385,385,error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.77,0.02,4.56,10.16,38.63,40.22,34.36,https://www.sebi.gov.in/filings/public-issues/jul-2025/mandb-engineering-limited-rhp_95585.html,https://www.investorgain.com/chr-gmp/mb-engineering-ipo/2049,,,
Euro Pratik Sales Limited,https://www.chittorgarh.com/ipo/euro-pratik-ipo/2015/,EQ,2025-08-20,2025-08-22,2025-08-28,10,561,561,error,5.0,1.0,0.0,0.0,0.0,0.0,0.13,0.76,0.74,0.14,4.42,2.19,11.09,19.78,5.09,https://www.sebi.gov.in/filings/public-issues/aug-2025/mangal-electrical-industries-limited-rhp_96149.html,https://www.investorgain.com/chr-gmp/mangal-electrical-ipo/2069,,,
Urban Company  Limited,https://www.chittorgarh.com/ipo/urban-company-ipo/2425/,EQ,2025-10-07,2025-10-09,2025-10-14,10,1140,1140,error,21.0,0.0,0.0,7.0,0.0,0.0,0.49,2.31,0.82,2.59,7.6,1.91,166.51,22.44,3.55,https://www.bseindia.com/corporates/download/325836/IPO%20Open/RHP_20251003191828.pdf,https://www.investorgain.com/chr-gmp/lg-electronics-india-ipo/2064,,,
Shringar House of Mangalsutra Limited,https://www.chittorgarh.com/ipo/shringar-house-of-mangalsutra-ipo/2003/,EQ,2025-07-30,2025-08-01,2025-08-06,2,800,800,error,11.0,0.0,0.0,8.0,0.0,1.0,0.26,1.32,0.84,1.96,11.08,4.19,103.97,34.98,7.76,https://www.sebi.gov.in/filings/public-issues/jul-2025/national-securities-depository-limited-rhp_95614.html,https://www.investorgain.com/chr-gmp/national-securities-depository-limited-nsdl-ipo/2448,,,
Dev Accelerator Limited,https://www.chittorgarh.com/ipo/dev-accelerator-ipo/2117/,EQ,2025-09-29,2025-10-03,2025-10-08,10,135,135,error,0.0,1.0,0.0,0.0,0.0,0.0,1.1,4.03,0.55,3.95,4.7,0.93,3.95,5.13,1.34,https://nsearchives.nseindia.com/content/ipo/RHP_OMFREIGHT.zip,https://www.investorgain.com/chr-gmp/om-freight-forwarders-ipo/2407,3.97,7.39,2.77
Amanta Healthcare Limited,https://www.chittorgarh.com/ipo/amanta-healthcare-ipo/2001/,EQ,2025-10-15,2025-10-17,error,error,error,error,error,4.0,1.0,1.0,4.0,0.0,2.0,0.52,4.39,1.69,1.93,34.89,8.63,146.99,176.57,25.52,https://www.sebi.gov.in/filings/public-issues/oct-2025/midwest-limited-rhp_97222.html,https://www.investorgain.com/chr-gmp/midwest-ipo/2150,,,
Vikran Engineering Limited,https://www.chittorgarh.com/ipo/vikran-engineering-ipo/2126/,EQ,2025-09-26,2025-09-30,2025-10-06,2,219,219,error,6.0,1.0,0.0,1.0,0.0,1.0,0.18,0.1,0.19,0.24,0.82,0.66,1.69,3.06,1.09,https://www.sebi.gov.in/filings/public-issues/sep-2025/pace-digitek-limited-rhp_96742.html,https://www.investorgain.com/chr-gmp/pace-digitek-ipo/2306,,,
